# snapshot at a = 64
#              q             psi               v             acc       acc_Zeldo               x
   -0.49993896484375   0.0039062490467215    0.031249975587278   0.0039036346547943   0.0039062499042516    -0.49603271579703
   -0.49981689453125    0.011718744842221    0.093749908378296    0.011710901667977    0.011718747414811    -0.48809814968903
   -0.49969482421875    0.019531233743884     0.15624978601866    0.019518161791937    0.019531238031533    -0.48016359047487
   -0.49957275390625    0.027343711155827      0.2187495717413    0.027325410433865    0.027343717158531    -0.47222904275042
   -0.49945068359375    0.035156172482168      0.2812492287792    0.035132643000959    0.035156180199924    -0.46429451111158
   -0.49932861328125    0.042968613127039     0.34374872036542    0.042939854900424    0.042968622559842    -0.45636000015421
   -0.49920654296875    0.050781028494577      0.4062480097331    0.050747041539474    0.050781039642423    -0.44842551447417
   -0.49908447265625    0.058593413988949     0.46874706011557    0.058554198325352     0.05859342685183     -0.4404910586673
   -0.49896240234375    0.066405765014325     0.53124583474622    0.066361320665303    0.066405779592235    -0.43255663732942
   -0.49884033203125    0.074218076974901     0.59374429685864    0.074168403966599     0.07421809326783    -0.42462225505635
   -0.49871826171875    0.082030345274894     0.65624240968659    0.081975443636534    0.082030363282833    -0.41668791644386
   -0.49859619140625    0.089842565318543     0.71874013646399    0.089782435082423    0.089842585041482    -0.40875362608771
   -0.49847412109375    0.097654732510132     0.78123744042513    0.097589373711624    0.097654753948057    -0.40081938858362
   -0.49835205078125     0.10546684225396     0.84373428480441     0.10539625493151     0.10546686540686    -0.39288520852729
   -0.49822998046875     0.11327888995436     0.90623063283655     0.11320307414949     0.11327891482222    -0.38495109051439
   -0.49810791015625      0.1210908710157     0.96872644775655     0.12100982677303     0.12109089759851    -0.37701703914055
   -0.49798583984375     0.12890278084241      1.0312216927997      0.1288165082096     0.12890280914015    -0.36908305900134
   -0.49786376953125     0.13671461483893      1.0937163312018     0.13662311386673     0.13671464485158    -0.36114915469232
   -0.49774169921875     0.14452636840976      1.1562103261987     0.14442963915201     0.14452640013731    -0.35321533080899
   -0.49761962890625     0.15233803695946      1.2187036410268     0.15223607947305     0.15233807040189    -0.34528159194679
   -0.49749755859375     0.16014961589262       1.281196238923     0.16004243023753      0.1601496510499    -0.33734794270113
   -0.49737548828125     0.16796110061388      1.3436880831245     0.16784868685317       0.167961137486    -0.32941438766737
   -0.49725341796875     0.17577248652795      1.4061791368688     0.17565484472775     0.17577252511489     -0.3214809314408
   -0.49713134765625      0.1835837690396      1.4686693633943     0.18346089926911     0.18358380934133    -0.31354757861665
   -0.49700927734375     0.19139494355364      1.5311587259394     0.19126684588516     0.19139498557015    -0.30561433379011
   -0.49688720703125     0.19920600547498      1.5936471877432     0.19907267998384     0.19920604920623    -0.29768120155627
   -0.49676513671875     0.20701695020855      1.6561347120455      0.2068783969732     0.20701699565452     -0.2897481865102
   -0.49664306640625     0.21482777315939      1.7186212620864     0.21468399226133     0.21482782032005    -0.28181529324686
   -0.49652099609375     0.22263846973257      1.7811068011066     0.22248946125639      0.2226385186079    -0.27388252636118
   -0.49639892578125     0.23044903533329      1.8435912923477     0.23029479936664     0.23044908592325    -0.26594989044796
   -0.49627685546875     0.23825946536677      1.9060746990514     0.23810000200039     0.23825951767134    -0.25801739010198
   -0.49615478515625     0.24606975523835      1.9685569844606     0.24590506456604      0.2460698092575     -0.2500850299179
   -0.49603271484375     0.25387990035344      2.0310381118184     0.25370998247208     0.25387995608713    -0.24215281449031
   -0.49591064453125     0.26168989611751      2.0935180443687     0.26151475112707     0.26168995356571    -0.23422074841374
   -0.49578857421875     0.26949973793617      2.1559967453564     0.26931936593967     0.26949979709884    -0.22628883628258
   -0.49566650390625     0.27730942121507      2.2184741780267     0.27712382231863     0.27730948209219    -0.21835708269118
   -0.49554443359375     0.28511894135999      2.2809503056259     0.28492811567279     0.28511900395151    -0.21042549223376
   -0.49542236328125     0.29292829377677      2.3434250914007     0.29273224141108     0.29292835808267    -0.20249406950448
   -0.49530029296875     0.30073747387139      2.4058984985989     0.30053619494252     0.30073753989162    -0.19456281909736
   -0.49517822265625      0.3085464770499       2.468370490469     0.30833997167627     0.30854654478442    -0.18663174560635
   -0.49505615234375     0.31635529871847      2.5308410302604     0.31614356702156     0.31635536816725    -0.17870085362528
   -0.49493408203125     0.32416393428337      2.5933100812232     0.32394697638773     0.32416400544636    -0.17077014774788
   -0.49481201171875     0.33197237915098      2.6557776066085     0.33175019518425     0.33197245202813    -0.16283963256777
   -0.49468994140625     0.33978062872779      2.7182435696682     0.33955321882066     0.33978070331907    -0.15490931267846
   -0.49456787109375     0.34758823188491      2.7801490956222      0.3430831819864     0.34758875472577    -0.14697963920884
   -0.49444580078125     0.35539248617275      2.8410516945245     0.34819679425085     0.35539660165497     -0.1390533146085
   -0.49432373046875     0.36319149990687       2.901420373291     0.35415970281717      0.3632042395135    -0.13113223056188
   -0.49420166015625     0.37098406245296      2.9613662916998     0.36048240650132     0.37101166370833    -0.12321759770329
   -0.49407958984375     0.37876935382508      3.0209616360048     0.36679786834077     0.37881886964656    -0.11531023601867
   -0.49395751953125     0.38654674984192      3.0802620466154     0.37322752981176     0.38662585273541    -0.10741076968933
   -0.49383544921875     0.39431576899514        3.13930878899     0.37977090595367     0.39443260838223   -0.099519680223608
   -0.49371337890625     0.40207549993444      3.1980817559507     0.38654915741088     0.40223913199451   -0.091637878971808
   -0.49359130859375     0.40982599619606      3.2559638570952     0.38318641278328     0.41004541897988   -0.083765312397688
   -0.49346923828125     0.41756170050519      3.3109279939053     0.38115189375936     0.41785146474608   -0.075907537776058
