# snapshot at a = 0.5
#              q             psi               v             acc       acc_Zeldo               x
   -0.49993896484375  3.0517577376966e-05  2.1579185908638e-05  3.0517577376599e-05   0.0061035154753932    -0.49990844726637
   -0.49981689453125  9.1552714178209e-05  6.4737545031445e-05  9.1552714177823e-05    0.018310542835642    -0.49972534181707
   -0.49969482421875  0.00015258779712135  0.00010789586607082  0.00015258779712102     0.03051755942427    -0.49954223642163
   -0.49957275390625  0.00021362279030102  0.00015105412363784  0.00021362279030068    0.042724558060204    -0.49935913111595
   -0.49945068359375  0.00027465765781191  0.00019421229234361  0.00027465765781154    0.054931531562381    -0.49917602593594
   -0.49932861328125  0.00033569236374877   0.0002373703467993  0.00033569236374842    0.067138472749754     -0.4989929209175
   -0.49920654296875  0.00039672687220643  0.00028052826161609  0.00039672687220604    0.079345374441286    -0.49880981609654
   -0.49908447265625  0.00045776114727993  0.00032368601140537  0.00045776114727958    0.091552229455985    -0.49862671150897
   -0.49896240234375  0.00051879515306433   0.0003668435707785  0.00051879515306397     0.10375903061287    -0.49844360719069
   -0.49884033203125  0.00057982885365492  0.00041000091434702   0.0005798288536546     0.11596577073098     -0.4982605031776
   -0.49871826171875  0.00064086221314713  0.00045315801672255  0.00064086221314674     0.12817244262943     -0.4980773995056
   -0.49859619140625  0.00070189519563658  0.00049631485251688  0.00070189519563624     0.14037903912732    -0.49789429621061
   -0.49847412109375   0.0007629277652192  0.00053947139634199  0.00076292776521891     0.15258555304384    -0.49771119332853
   -0.49835205078125  0.00082395988599107  0.00058262762280998  0.00082395988599071     0.16479197719821    -0.49752809089526
   -0.49822998046875  0.00088499152204857  0.00062578350653315  0.00088499152204824     0.17699830440971     -0.4973449889467
   -0.49810791015625  0.00094602263748837  0.00066893902212401    0.000946022637488     0.18920452749767    -0.49716188751876
   -0.49798583984375   0.0010070531964074  0.00071209414419527    0.001007053196407     0.20141063928148    -0.49697878664734
   -0.49786376953125    0.001068083162903  0.00075524884735987   0.0010680831629026      0.2136166325806    -0.49679568636835
   -0.49774169921875   0.0011291125010728  0.00079840310623106   0.0011291125010724     0.22582250021455    -0.49661258671768
   -0.49761962890625   0.0011901411750148  0.00084155689542227   0.0011901411750145     0.23802823500295    -0.49642948773124
   -0.49749755859375   0.0012511691488274  0.00088471018954724   0.0012511691488271     0.25023382976547    -0.49624638944492
   -0.49737548828125   0.0013121963866094     0.00092786296322   0.0013121963866091     0.26243927732188    -0.49606329189464
   -0.49725341796875   0.0013732228524601  0.00097101519105486   0.0013732228524598     0.27464457049202    -0.49588019511629
   -0.49713134765625   0.0014342485104792   0.0010141668476665   0.0014342485104788     0.28684970209583    -0.49569709914577
   -0.49700927734375   0.0014952733247668     0.00105731790767   0.0014952733247665     0.29905466495336    -0.49551400401898
   -0.49688720703125   0.0015562972594237   0.0011004683456805   0.0015562972594233     0.31125945188473    -0.49533090977183
   -0.49676513671875    0.001617320278551   0.0011436181363139   0.0016173202785507     0.32346405571019     -0.4951478164402
   -0.49664306640625   0.0016783423462504   0.0011867672541862   0.0016783423462501     0.33566846925008       -0.49496472406
   -0.49652099609375   0.0017393634266242   0.0012299156739139   0.0017393634266238     0.34787268532484    -0.49478163266713
   -0.49639892578125   0.0018003834837754   0.0012730633701139   0.0018003834837751     0.36007669675508    -0.49459854229747
   -0.49627685546875   0.0018614024818074   0.0013162103174035    0.001861402481807     0.37228049636147    -0.49441545298694
   -0.49615478515625   0.0019224203848242   0.0013593564904005   0.0019224203848239     0.38448407696484    -0.49423236477143
   -0.49603271484375   0.0019834371569307    0.001402501863723   0.0019834371569304     0.39668743138614    -0.49404927768682
   -0.49591064453125   0.0020444527622321   0.0014456464119899   0.0020444527622318     0.40889055244643    -0.49386619176902
   -0.49578857421875   0.0021054671648347   0.0014887901098202   0.0021054671648344     0.42109343296694    -0.49368310705392
   -0.49566650390625   0.0021664803288452   0.0015319329318337   0.0021664803288449     0.43329606576905     -0.4935000235774
   -0.49554443359375   0.0022274922183712   0.0015750748526505   0.0022274922183708     0.44549844367424    -0.49331694137538
   -0.49542236328125   0.0022885027975209   0.0016182158468914   0.0022885027975206     0.45770055950417    -0.49313386048373
   -0.49530029296875   0.0023495120304033   0.0016613558891775    0.002349512030403     0.46990240608066    -0.49295078093835
   -0.49517822265625   0.0024105198811283   0.0017044949541308   0.0024105198811279     0.48210397622566    -0.49276770277512
   -0.49505615234375   0.0024715263138066   0.0017476330163736   0.0024715263138063     0.49430526276132    -0.49258462602994
   -0.49493408203125   0.0025325312925497    0.001790770050529   0.0025325312925493     0.50650625850993     -0.4924015507387
   -0.49481201171875   0.0025935347814698   0.0018339060312205   0.0025935347814695     0.51870695629396    -0.49221847693728
   -0.49468994140625   0.0026545367446802   0.0018770409330723   0.0026545367446799     0.53090734893605    -0.49203540466157
   -0.49456787109375   0.0027155371462951   0.0019201747307092   0.0027155371462948     0.54310742925902    -0.49185233394745
   -0.49444580078125   0.0027765359504294   0.0019633073987569    0.002776535950429     0.55530719008588    -0.49166926483082
   -0.49432373046875   0.0028375331211992   0.0020064389118414   0.0028375331211988     0.56750662423984    -0.49148619734755
   -0.49420166015625   0.0028985286227213   0.0020495692445896    0.002898528622721     0.57970572454427    -0.49130313153353
   -0.49407958984375   0.0029595224191138    0.002092698371629   0.0029595224191135     0.59190448382275    -0.49112006742464
   -0.49395751953125   0.0030205144744954   0.0021358262675878    0.003020514474495     0.60410289489908    -0.49093700505675
   -0.49383544921875   0.0030815047529862   0.0021789529070951   0.0030815047529859     0.61630095059724    -0.49075394446576
